what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser",1387195884229
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1387195884229
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1387195884229
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1387195884229
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1387195884229
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1387195884229
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1387195884229
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1387195884229
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1387195884229
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1387195884229
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1387195884229
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1387195884229
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1387195884229
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1387195884229
started,bundle,com.netsuite.ide.core,2.3.2.201311190008,"com.netsuite.ide.core",1387195884229
started,bundle,com.netsuite.ide.eclipse.app,2.3.2.201311190008,"com.netsuite.ide.eclipse.app",1387195884229
started,bundle,com.netsuite.ide.eclipse.db,2.3.2.201311190008,"com.netsuite.ide.eclipse.db",1387195884230
started,bundle,com.netsuite.ide.eclipse.lib,2.3.2.201311190008,"com.netsuite.ide.eclipse.lib",1387195884230
os,sysinfo,,,"macosx",1387195884231
arch,sysinfo,,,"x86_64",1387195884231
ws,sysinfo,,,"cocoa",1387195884231
locale,sysinfo,,,"en_US",1387195884231
processors,sysinfo,,,"8",1387195884231
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1387195884231
java.runtime.version,sysinfo,,,"1.6.0_65-b14-462-11M4609",1387195884231
java.specification.name,sysinfo,,,"Java Platform API Specification",1387195884231
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1387195884231
java.specification.version,sysinfo,,,"1.6",1387195884231
java.vendor,sysinfo,,,"Apple Inc.",1387195884231
java.version,sysinfo,,,"1.6.0_65",1387195884231
java.vm.info,sysinfo,,,"mixed mode",1387195884231
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1387195884231
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1387195884231
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1387195884231
java.vm.specification.version,sysinfo,,,"1.0",1387195884231
java.vm.vendor,sysinfo,,,"Apple Inc.",1387195884231
java.vm.version,sysinfo,,,"20.65-b04-462",1387195884231
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1387195884519
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1387195885238
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1387195885260
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387195896212
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1387195957195
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.ui",1387195957199
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20111128-0624,"org.eclipse.equinox.p2.transport.ecf",1387195957583
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1387195957586
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1387195957597
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1387195957607
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1387195957616
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1387195957618
