what,kind,bundleId,bundleVersion,description,time
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1377450564186
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1377450564186
started,bundle,org.tigris.subversion.clientadapter,1.8.6,"org.tigris.subversion.clientadapter",1377450564186
started,bundle,org.tigris.subversion.subclipse.core,1.8.22,"org.tigris.subversion.subclipse.core",1377450564186
started,bundle,org.tigris.subversion.subclipse.ui,1.8.21,"org.tigris.subversion.subclipse.ui",1377450564187
os,sysinfo,,,"macosx",1377450564189
arch,sysinfo,,,"x86_64",1377450564189
ws,sysinfo,,,"cocoa",1377450564189
locale,sysinfo,,,"en_US",1377450564189
processors,sysinfo,,,"8",1377450564189
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1377450564189
java.runtime.version,sysinfo,,,"1.6.0_51-b11-457-11M4509",1377450564189
java.specification.name,sysinfo,,,"Java Platform API Specification",1377450564189
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1377450564189
java.specification.version,sysinfo,,,"1.6",1377450564189
java.vendor,sysinfo,,,"Apple Inc.",1377450564189
java.version,sysinfo,,,"1.6.0_51",1377450564189
java.vm.info,sysinfo,,,"mixed mode",1377450564189
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1377450564189
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1377450564189
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1377450564189
java.vm.specification.version,sysinfo,,,"1.0",1377450564189
java.vm.vendor,sysinfo,,,"Apple Inc.",1377450564189
java.vm.version,sysinfo,,,"20.51-b01-457",1377450564189
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1377450568730
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1377450568746
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377522042586
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1377522044147
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.200.v201103081922,"org.eclipse.wst.xsl.jaxp.debug.ui",1377522044162
stopped,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1377522044198
stopped,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1377522044199
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1377522044201
stopped,bundle,org.eclipse.wst.jsdt.web.ui,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.ui",1377522044218
stopped,bundle,org.eclipse.wst.web.ui,1.1.500.v201111030500,"org.eclipse.wst.web.ui",1377522044219
stopped,bundle,com.netsuite.ide.eclipse.help,2.2.1.201304120053,"com.netsuite.ide.eclipse.help",1377522044220
stopped,bundle,com.netsuite.ide.eclipse.app,2.2.1.201304120053,"com.netsuite.ide.eclipse.app",1377522044220
activated,perspective,com.netsuite.ide.eclipse.app,,"com.netsuite.ide.eclipse.netSuitePerspective",1377961090780
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1377961090781
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1377961090782
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1377961090782
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1377961090783
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1377961090783
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1377961090787
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1377961090787
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1377961090788
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1377961090788
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1377961090789
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1377961090789
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1377961090789
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1377961090790
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1377961090790
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1377961090790
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1377961090791
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1377961090791
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1377961090791
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1377961090792
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1377961090792
